,year,month,district,rooms,amount,average_area,average_price
934,2020,12,Дніпровський,3,354,82,1214
935,2020,12,Дніпровський,4,95,109,1146
936,2020,12,Оболонський,1,168,44,1404
937,2020,12,Оболонський,2,190,66,1368
938,2020,12,Оболонський,3,232,91,1376
939,2020,12,Оболонський,4,78,132,1675
940,2020,12,Печерський,1,225,51,2272
941,2020,12,Печерський,2,454,70,2089
942,2020,12,Печерський,3,548,107,2091
943,2020,12,Печерський,4,194,144,2180
944,2020,12,Подільський,1,203,42,1542
945,2020,12,Подільський,2,232,63,1421
946,2020,12,Подільський,3,204,86,1400
947,2020,12,Подільський,4,50,124,1536
948,2020,12,Святошинський,1,168,39,1278
949,2020,12,Святошинський,2,176,60,1129
950,2020,12,Святошинський,3,221,80,1068
951,2020,12,Святошинський,4,58,108,1032
952,2020,12,Солом'янський,1,278,42,1442
953,2020,12,Солом'янський,2,288,62,1322
954,2020,12,Солом'янський,3,288,92,1279
955,2020,12,Солом'янський,4,68,126,1206
956,2020,12,Шевченківський,1,278,43,1775
957,2020,12,Шевченківський,2,507,67,1772
958,2020,12,Шевченківський,3,435,96,1833
959,2020,12,Шевченківський,4,126,137,1858
